customer_id,first_name,last_name,email,country,signup_date
CUST_00657,olivia,Davis,olivia_davis656@example.com,Canada,2023-10-21
CUST_00832,James,Davis,james_davis831@example.com,Germany,2022-04-03
CUST_00190,Isabella,Smith,isabella_smith189@example.com,Japan,2022-10-26
CUST_00983,Sophia,Rodriguez,sophia_rodriguez982@example.com,"United State",2022-11-30
CUST_00253,olivia,Brown,olivia_brown252@example.com,Canada,2023-04-22
CUST_00390,Mia,garcia,mia_garcia389@example.com,Germany,2022-07-18
CUST_00091,Mia,Jones,mia_jones90@example.com,France,2023-04-10
CUST_00940,Noah,Brown,noah_brown939@example.com,France,2023-04-24
CUST_00457,William,garcia,william_garcia456@example.com,Germany,2023-04-11
CUST_00410,Isabella,williams,,Germany,2023-07-15
CUST_00322,Ava,Johnson,ava_johnson321@example.com,NULL,2022-08-08
CUST_00997,William,Smith,william_smith996@example.com,NULL,2023-05-27
CUST_00886,Liam,Martinez,liam_martinez885@example.com,Canada,2022-02-11
CUST_00902,Noah,Martinez,noah_martinez901@example.com,Australia,2022-04-28
CUST_00101,Liam,williams,liam_williams100@example.com,Canada,2023-01-10
CUST_00937,Emma,Smith,emma_smith936@example.com,Australia,2023-01-02
CUST_00679,Benjamin,Davis,,NULL,2022-01-05
CUST_00724,William,garcia,william_garcia723@example.com,Australia,2023-03-31
CUST_00913,Mia,williams,mia_williams912@example.com,Japan,2023-02-07
CUST_00121,Benjamin,Smith,benjamin_smith120@example.com,NULL,2022-02-07
CUST_00737,William,Jones,william_jones736@example.com,Canada,2023-08-17
CUST_00129,Mia,garcia,,"United State",2022-06-13
CUST_00941,William,Martinez,william_martinez940@example.com,NULL,2022-06-16
CUST_00325,Benjamin,Jones,benjamin_jones324@example.com,Canada,2022-08-12
CUST_00238,Noah,Davis,noah_davis237@example.com,France,2023-06-25
CUST_00248,James,Davis,,Germany,2022-06-11
CUST_00838,oliver,Johnson,,Japan,2022-07-03
CUST_00568,Sophia,Smith,sophia_smith567@example.com,France,2022-07-14
CUST_00279,Sophia,garcia,sophia_garcia278@example.com,NULL,2023-08-30
CUST_00384,Sophia,Smith,,NULL,2022-02-27
CUST_00030,Liam,Brown,liam_brown29@example.com,"United State",2022-11-14
CUST_00578,Noah,Brown,noah_brown577@example.com,Canada,2023-09-08
CUST_00048,Sophia,williams,sophia_williams47@example.com,Germany,2022-06-19
CUST_00110,Benjamin,Smith,benjamin_smith109@example.com,Australia,2023-11-10
CUST_00265,William,williams,william_williams264@example.com,Canada,2022-02-20
CUST_00351,Liam,Johnson,liam_johnson350@example.com,NULL,2022-07-26
CUST_00282,Liam,Smith,liam_smith281@example.com,Australia,2022-12-06
CUST_00358,William,williams,william_williams357@example.com,Australia,2023-01-30
CUST_00955,oliver,Miller,oliver_miller954@example.com,NULL,2022-08-13
CUST_00754,Sophia,Jones,sophia_jones753@example.com,"United State",2023-05-03
CUST_00052,olivia,Jones,olivia_jones51@example.com,Canada,2022-04-16
CUST_00404,olivia,Jones,olivia_jones403@example.com,UK,2023-02-22
CUST_00071,William,Johnson,william_johnson70@example.com,NULL,2023-03-13
CUST_00246,Isabella,Rodriguez,isabella_rodriguez245@example.com,NULL,2022-10-03
CUST_00428,oliver,williams,oliver_williams427@example.com,Germany,2022-03-21
CUST_00547,Mia,Rodriguez,mia_rodriguez546example.com,NULL,2022-07-25
CUST_00240,James,Johnson,james_johnson239example.com,NULL,2028-01-01
CUST_00189,Sophia,garcia,sophia_garcia188@example.com,Germany,2022-07-04
CUST_00213,oliver,Davis,oliver_davis212@example.com,"United State",2023-07-11
CUST_00614,Emma,Johnson,emma_johnson613@example.com,Australia,2022-10-17
CUST_00688,Ava,Brown,,Germany,2022-05-20
CUST_00232,William,Jones,william_jones231@example.com,NULL,2023-11-25
CUST_00221,olivia,Martinez,olivia_martinez220@example.com,Canada,2023-10-11
CUST_00804,Mia,Martinez,mia_martinez803@example.com,UK,2023-01-12
CUST_00531,Ava,garcia,ava_garcia530@example.com,NULL,2022-04-05
CUST_00083,Liam,Johnson,liam_johnson82@example.com,Japan,2023-02-25
CUST_00813,Liam,Rodriguez,liam_rodriguez812@example.com,UK,2022-12-29
CUST_00138,Liam,Davis,liam_davis137example.com,Canada,2022-05-19
CUST_00415,Mia,Brown,mia_brown414@example.com,UK,2023-04-07
CUST_00468,James,williams,james_williams467@example.com,NULL,2023-08-14
CUST_00747,olivia,Jones,olivia_jones746@example.com,NULL,2023-09-20
CUST_00628,William,Miller,william_miller627@example.com,France,2022-01-12
CUST_00771,Mia,Jones,mia_jones770@example.com,"United State",2022-04-28
CUST_00300,Emma,Brown,emma_brown299@example.com,"United State",2022-04-29
CUST_00964,Emma,Davis,emma_davis963@example.com,NULL,2022-08-22
CUST_00444,Emma,Smith,emma_smith443@example.com,"United State",2022-07-30
CUST_00481,Mia,garcia,mia_garcia480@example.com,Canada,2022-03-15
CUST_00459,Liam,Rodriguez,liam_rodriguez458@example.com,Germany,2023-03-30
CUST_00472,oliver,garcia,oliver_garcia471@example.com,UK,2023-01-17
CUST_00167,Noah,Brown,noah_brown166@example.com,Canada,2023-02-11
CUST_00817,Liam,garcia,liam_garcia816example.com,NULL,2022-10-15
CUST_00057,olivia,Davis,,NULL,2022-08-09
CUST_00417,olivia,Smith,olivia_smith416@example.com,Japan,2023-03-23
CUST_00043,Mia,Miller,mia_miller42@example.com,"United State",2023-01-21
CUST_00681,James,Brown,james_brown680@example.com,NULL,2023-05-01
CUST_00642,olivia,Jones,olivia_jones641@example.com,NULL,2022-02-03
CUST_00333,Isabella,williams,isabella_williams332@example.com,Japan,2023-07-27
CUST_00883,Sophia,Jones,sophia_jones882@example.com,Australia,2023-05-17
CUST_00672,oliver,Martinez,oliver_martinez671@example.com,Canada,2023-11-26
CUST_00753,James,Johnson,james_johnson752@example.com,Japan,2023-03-31
CUST_00370,oliver,Jones,oliver_jones369@example.com,France,2022-12-16
CUST_00255,Benjamin,Martinez,benjamin_martinez254@example.com,Australia,2022-07-20
CUST_00515,Benjamin,Johnson,benjamin_johnson514@example.com,Canada,2023-12-01
CUST_00067,Isabella,Miller,isabella_miller66@example.com,NULL,2023-10-25
CUST_00010,Isabella,Jones,isabella_jones9@example.com,"United State",2022-04-28
CUST_00829,Sophia,Jones,sophia_jones828@example.com,Canada,2022-08-02
CUST_00534,William,garcia,william_garcia533@example.com,"United State",2022-08-21
CUST_00679,Benjamin,Davis,,NULL,2022-01-05
CUST_00553,Isabella,Jones,isabella_jones552@example.com,Canada,2022-01-31
CUST_00948,Noah,Jones,noah_jones947@example.com,Canada,2023-06-24
CUST_00036,William,Rodriguez,william_rodriguez35@example.com,"United State",2022-10-21
CUST_00437,olivia,Martinez,olivia_martinez436@example.com,Japan,2023-04-10
CUST_00541,oliver,Johnson,oliver_johnson540@example.com,Canada,2022-11-25
CUST_00434,Emma,Martinez,emma_martinez433@example.com,NULL,2023-02-20
CUST_00065,Mia,Davis,mia_davis64@example.com,NULL,2022-03-06
CUST_00510,William,Davis,,Canada,2022-05-18
CUST_00655,Benjamin,garcia,benjamin_garcia654@example.com,NULL,2023-01-27
CUST_00139,Benjamin,Miller,benjamin_miller138@example.com,Australia,2023-01-22
CUST_00028,oliver,Miller,oliver_miller27@example.com,Canada,2028-01-01
CUST_00540,Isabella,Martinez,isabella_martinez539@example.com,UK,2023-03-17
CUST_00355,Ava,Jones,,NULL,2022-10-25
CUST_00070,Isabella,Jones,isabella_jones69@example.com,"United State",2022-07-04
CUST_00382,olivia,williams,olivia_williams381@example.com,Canada,2022-12-27
CUST_00197,Mia,Martinez,mia_martinez196@example.com,"United State",2022-10-30
CUST_00480,Benjamin,Davis,benjamin_davis479@example.com,NULL,2022-05-29
CUST_00212,Noah,Jones,noah_jones211example.com,UK,2022-06-22
CUST_00760,Liam,Johnson,liam_johnson759@example.com,France,2022-01-31
CUST_00896,Isabella,williams,isabella_williams895@example.com,UK,2023-08-17
CUST_00647,William,Rodriguez,,Australia,2023-03-19
CUST_00375,Noah,garcia,noah_garcia374@example.com,France,2023-08-26
CUST_00704,Sophia,Jones,sophia_jones703@example.com,Australia,2023-06-24
CUST_00454,Isabella,Rodriguez,isabella_rodriguez453@example.com,NULL,2022-09-02
CUST_00658,James,Jones,,Germany,2028-01-01
CUST_00819,William,Davis,william_davis818@example.com,France,2023-03-27
CUST_00652,Emma,Martinez,emma_martinez651@example.com,Germany,2022-05-03
CUST_00781,Benjamin,Davis,benjamin_davis780@example.com,Germany,2023-03-21
